Fund name,Quantity,Price (change),Current balance,Balance mix,Contributions mix
Fund Name,,,,,
Vanguard Total Bond Market Index Fund Institutional Shares,"3,440.87",$9.61 ,"$33,066.73 ",2.27%,%
,,(-$0.01 | -0.10%),,,
Vanguard Extended Market Index Fund Institutional Shares,"2,180.41",$152.51 ,"$332,533.72 ",22.80%,%
,,(-$3.08 | -1.98%),,,
Vanguard Emerging Markets Stock Index Fund Institutional Plus Shares,"1,863.29",$110.94 ,"$206,713.06 ",14.17%,%
,,(-$0.64 | -0.57%),,,
Vanguard Total International Bond Index Fund Institutional Shares,"5,094.61",$28.62 ,"$145,807.61 ",10.00%,%
,,(-$0.08 | -0.28%),,,
Vanguard Real Estate Index Fund Institutional Shares,"15,367.82",$19.09 ,"$293,371.63 ",20.11%,%
,,(-$0.15 | -0.78%),,,
Vanguard Institutional Total Bond Market Index Trust,798.566,$116.48 ,"$93,016.97 ",6.38%,%
,,(-$0.11 | -0.09%),,,
Vanguard Target Retirement 2035 Trust,"1,037.80",$158.31 ,"$164,294.27 ",11.26%,%
,,(-$1.46 | -0.91%),,,
Prudential Core Plus Bond Fund 15,786.339,$196.66 ,"$154,641.43 ",10.60%,%
,,(-$0.20 | -0.10%),,,
EARNEST Partners Smid Cap Core Fund Founders Class,"1,897.40",$18.59 ,"$35,272.68 ",2.42%,%
,,(-$0.28 | -1.48%),,,
Subtotal,,,"$1,458,718.10 ",100.01%,%
Total,,,"$1,458,718.10 ",100.00%,-
